delta,val,tare
4,8270087,270083
45,8270128,270083
76,8270159,270083
83,8270166,270083
111,8270194,270083
133,8270216,270083
133,8270216,270083
66,8270149,270083
59,8270142,270083
83,8270166,270083
119,8270202,270083
93,8270176,270083
108,8270191,270083
135,8270218,270083
159,8270242,270083
144,8270227,270083
174,8270257,270083
149,8270232,270083
78,8270161,270083
161,8270244,270083
188,8270271,270083
82,8270165,270083
146,8270229,270083
112,8270195,270083
133,8270216,270083
171,8270254,270083
94,8270177,270083
2,8270085,270083
58,8270141,270083
77,8270160,270083
83,8270166,270083
109,8270192,270083
105,8270188,270083
99,8270182,270083
86,8270169,270083
15,8270098,270083
49,8270132,270083
91,8270174,270083
123,8270206,270083
170,8270253,270083
181,8270264,270083
162,8270245,270083
171,8270254,270083
230,8270313,270083
187,8270270,270083
229,8270312,270083
418,8270501,270083
2859,8272942,270083
10161,8280244,270083
14445,8284528,270083
11768,8281851,270083
9461,8279544,270083
5006,8275089,270083
-508,8269575,270083
-9023,8261060,270083
-2446,8267637,270083
8924,8279007,270083
2121,8272204,270083
-108,8269975,270083
2361,8272444,270083
1194,8271277,270083
71,8270154,270083
-233,8269850,270083
-1009,8269074,270083
-971,8269112,270083
251,8270334,270083
2264,8272347,270083
642,8270725,270083
250,8270333,270083
233,8270316,270083
286,8270369,270083
277,8270360,270083
359,8270442,270083
243,8270326,270083
214,8270297,270083
274,8270357,270083
222,8270305,270083
197,8270280,270083
242,8270325,270083
187,8270270,270083
193,8270276,270083
236,8270319,270083
215,8270298,270083
259,8270342,270083
327,8270410,270083
227,8270310,270083
203,8270286,270083
213,8270296,270083
264,8270347,270083
207,8270290,270083
162,8270245,270083
223,8270306,270083
-31,8270290,270321
-40,8270281,270321
-8,8270313,270321
4,8270325,270321
-44,8270277,270321
-40,8270281,270321
-16,8270305,270321
-35,8270286,270321
-1,8270320,270321
24,8270345,270321
15,8270336,270321
8,8270329,270321
-4,8270317,270321
-25,8270296,270321
-84,8270237,270321
-8,8270313,270321
-9,8270312,270321
-16,8270305,270321
44,8270365,270321
4,8270325,270321
-53,8270268,270321
-94,8270227,270321
-56,8270265,270321
-21,8270300,270321
-4,8270317,270321
12,8270333,270321
6,8270327,270321
23,8270344,270321
69,8270390,270321
61,8270382,270321
32,8270353,270321
30,8270351,270321
78,8270399,270321
66,8270387,270321
-10,8270311,270321
-30,8270291,270321
-23,8270298,270321
-71,8270250,270321
12,8270333,270321
92,8270413,270321
46,8270367,270321
-18,8270303,270321
-20,8270301,270321
35,8270356,270321
2,8270323,270321
49,8270370,270321
86,8270407,270321
94,8270415,270321
51,8270372,270321
38,8270359,270321
89,8270410,270321
41,8270362,270321
-39,8270282,270321
-7,8270314,270321
3,8270324,270321
20,8270341,270321
74,8270395,270321
81,8270402,270321
69,8270390,270321
54,8270375,270321
48,8270369,270321
40,8270361,270321
41,8270362,270321
40,8270361,270321
40,8270361,270321
